"id","name","creation_date"
"174c0a5a-9e03-400c-9056-c42aec61e3eb","(ARCHIVE)-AAN-kcollins","2021-08-10 23:07:23.540181+00"
"36a19c30-0e26-475f-b13c-f939108b7c72","(RESEARCH) NOML Phase 2","2021-08-10 23:07:23.540181+00"
"32ca13f4-03a4-4b8d-8498-3784849dbe5f","(RESEARCH) NCSU SMART AND CONNECTED HEALTH STUDY","2021-08-10 23:07:23.540181+00"
"fb3834f4-46ba-4ba6-8294-df52b852acc6","(ARCHIVE) (RESEARCH) UTA Pediatric Asthma Study","2021-08-10 23:07:23.540181+00"
"74f9957b-790c-4e88-abe4-d63aaacefc12","(RESEARCH)CDC-NationCenterEnvironmentalHealthStudy","2021-08-10 23:07:23.540181+00"
"4135f194-7cf4-49bd-86f1-d26653096ede","(RESEARCH) UTA Pediatric Asthma Study","2021-08-17 05:10:21.273525+00"
"dda6a5ee-3742-404d-9917-693d67781515","(RESEARCH) UNC - VitalFlo Correlative Study","2021-08-10 23:07:23.540181+00"
"4c095d56-a0e2-4b32-919b-ab7177522bdd","(ARCHIVE)-RXVIP-Ty Tran","2021-08-10 23:07:23.540181+00"
"4d6a1b6c-4b02-4aba-8950-d423d7991aff","(ARCHIVE)-NOMLRPM","2021-08-10 23:07:23.540181+00"
"71521279-9a1e-4450-ae1c-2bbdfb50454e","(RESEARCH) UTA TexHALE","2021-08-10 23:07:23.540181+00"
"71fbdf19-3a77-4499-8969-0a55ffe4025d","(RESEARCH) UNC Attack-Asthma","2021-08-10 23:07:23.540181+00"
"2f3b3273-c73a-4b5b-9e35-7e266ea13282","VitalFlo","2021-08-10 23:07:23.540181+00"
"a581285c-35e0-43e1-be71-734cf49f551d","(DEV)-Production Group","2021-08-10 23:07:23.540181+00"
"2ca5ef9d-fd06-4f54-81e4-4d033727b36e","Golden Health Initiative","2021-10-20 18:07:53.632395+00"
"ed370018-f850-4fd8-931c-5fe0552e95df","(ARCHIVE) (RESEARCH) NOML2.0","2021-09-02 13:58:12.244456+00"
"00274eb3-d009-47dd-992f-0f4e80b28ace","Baker-Allergy-Asthma-Dermatology","2021-08-10 23:07:23.540181+00"
"f718fa83-e7f2-4a4d-a9dd-19aa58114b7f","(Research) Stanford WildFire pre Grant study","2021-11-29 21:33:24.284025+00"
"7d67676c-4c4f-4d45-b511-2c476afd8e54","The Allergy Suite","2022-02-18 15:38:02.389814+00"
